,Measured Data,Linear Regression,Support Vector Regression,Decision Tree Regression,Random Forest Regression,Random Forest Regression (standardized data),Gradient Boosting,Extreme Gradient Boosting,Bootstrapping,Neural Networks
969,143.1103401,134.5471513076182,138.32105660771333,124.9857973,137.29312799603667,137.15947414563578,138.2273757711641,137.1791,137.39676404999997,140.54911376640416
970,109.1532988,113.84052872941234,115.56175831246064,108.9946494,112.62325133506685,114.30044269055769,114.7324821911658,100.91911,109.18540542000001,129.40943513129255
971,124.4759425,142.0878178141403,136.66031073381208,136.5123669,134.12414132274137,134.32968465599856,133.39115475779244,131.9448,134.72339608,135.33752733129504
972,123.4518376,136.6596024902243,127.91433068408259,120.5509396,126.34214145956497,126.6528027100698,121.71350276759037,125.31988,127.24334896,131.00876830597733
973,157.9076408,165.87730336591576,154.6334465521649,148.2270972,152.93741155948604,151.53759310745173,169.0137932919385,164.18709,154.93428314,152.49315683385458
974,220.7872212,242.70536970692982,209.1369193790005,219.6542803,215.77022704834133,216.31332440590253,208.48679203492557,216.1121,219.51651904,210.9031562854931
975,154.1228689,142.79472713754802,154.49009771233665,171.5738843,163.1522730313167,160.26893757316876,153.03305644180855,161.26126,162.92500133000001,153.5187448292099
976,169.1125163,186.32756649741518,168.11086096684483,174.3199003,168.8476071100311,169.28304732588575,170.03131875858418,159.46716,160.09474208,181.74835985612077
977,127.7123484,129.7904903505174,132.6604460944985,131.5151201,131.95001013484836,130.58126476083746,133.19388209413447,134.81863,135.95451961000003,138.65316213803712
978,317.6137965,251.98175803631213,280.38734534093567,280.9094834,291.42222544998293,294.3918591459296,297.49852863911883,289.88956,285.58216869,269.48069711818727
979,114.2893115,127.76980266691108,111.7649751592931,113.5753892,115.68344816706013,116.38496729066331,115.35516053524002,115.093414,115.10447221,115.99529795429923
980,158.1901958,161.91387616831872,169.59919141731677,161.2773708,163.9132176010207,165.1465032495865,163.05153122692977,160.9427,157.83505556,176.1933766800326
981,129.418562,130.8984574270035,140.08793570143465,140.4980668,131.12770226700997,130.4886369264241,134.5972818892513,129.27582,131.58919137000004,131.84407791817986
982,148.2139113,152.80451762957034,151.15584194066523,147.332549,145.93935605335616,143.96988041777092,145.17727414323528,145.798,147.69149850000002,145.81844660004546
983,142.8897379,135.39777899258797,140.39466865874869,145.396524,142.43908915342692,140.44270017566882,139.99602863531592,143.05911,145.43840493,143.56986106438964
984,147.029064,146.93643545653322,141.84239818995906,150.0963555,146.67311885146498,145.9899752223066,147.11098631526954,146.99385,144.57552382,146.86283704192851
985,155.07037,183.99641100506355,168.38672038758946,167.0749808,175.94795718666307,175.17357471172866,167.39861293872238,152.0152,165.41542017,178.5483247714462
986,138.613111,135.38767550385376,138.23805213876625,132.5264577,138.22780951898613,140.07765613426113,139.29595050266377,138.49496,143.52776802,147.3220797126876
